Fondo,Honorarios Adm. SG
Ecopymes FCI Abierto Pymes - Clase B,5
Optimum Abierto Pymes - Clase B,2.34
Optimum Abierto Pymes - Clase C,0.94
Optimum Abierto Pymes - Clase D,2.74
Optimum Abierto Pymes - Clase E,2.34
Parakeet Abierto Pymes - Clase A,2.5
Parakeet Abierto Pymes - Clase B,2
Argenfunds Abierto Pymes II - Clase A,0
Argenfunds Abierto Pymes II - Clase B,2.5
Gainvest PYMEs - Clase A,2.5
Gainvest PYMEs - Clase B,2.5
Gainvest PYMEs - Clase C,1.5
MAX Gestion Abierto Pyme I - Clase A,0
MAX Gestion Abierto Pyme I - Clase B,0
MAX Gestion Abierto Pyme I - Clase E,0
Novus Pyme Abierto - Clase A,2
Novus Pyme Abierto - Clase B,2
Novus Pyme Abierto - Clase C,2
Novus Pyme Abierto - Clase D,2
Novus Pyme Abierto - Clase E,2
Novus Pyme Abierto - Clase F,2
Novus Pyme Abierto - Clase G,2
Novus Pyme Abierto - Clase H,2
Quiron Pymes Capital Plus - Clase A,5
Quiron Pymes Capital Plus - Clase B,5
Quiron Pymes Capital Plus - Clase C,5
SBS Tavelli Abierto Pymes - Clase P,2
Superfondo Empresas Args. Abierto Pymes - Clase A,0
Superfondo Empresas Args. Abierto Pymes - Clase B,0
Superfondo Empresas Args. Abierto Pymes - Clase C,0
Alamerica Abierto Pymes - Clase A,0
Alamerica Abierto Pymes - Clase B,1
Alamerica Abierto Pymes - Clase C,0
Alamerica Abierto Pymes - Clase D,0
Allaria Abierto Pymes - Clase A,2
Allaria Abierto Pymes - Clase B,2
Allaria Abierto Pymes - Clase C,2
Balanz Capital Abierto Pymes FCI - Clase A,2.5
Balanz Capital Abierto Pymes FCI - Clase B,2.1
Balanz Capital Abierto Pymes FCI - Clase C,2.1
Balanz Capital Abierto Pymes FCI - Clase D,0
Balanz Capital Abierto Pymes FCI - Clase E,0
Delta Empresas Argentinas Pymes - Clase A,4
Delta Empresas Argentinas Pymes - Clase B,2
Delta Empresas Argentinas Pymes - Clase E,1.25
Fima FCI Abierto Pymes - Clase A,1.9125
Fima FCI Abierto Pymes - Clase B,1.7
Fima FCI Abierto Pymes - Clase C,1.4875
IEB Pyme - Clase A,2
IEB Pyme - Clase B,2
IEB Pyme - Clase C,0
IEB Pyme - Clase Ley N° 27.743,0
MEGAQM Cobertura FCIA Pymes - Clase A,0
MEGAQM Cobertura FCIA Pymes - Clase B,1.679
Pionero Empresas FCI Abierto Pymes -  Clase A,2.02
Pionero Empresas FCI Abierto Pymes - Clase B,0.585
SBS Abierto Pymes - Clase A,3.5
SBS Abierto Pymes - Clase B,2.15
SBS Abierto Pymes - Clase Ley N° 27.743,3.5
Toronto Trust Abierto Pymes - Clase A,1.1685
Toronto Trust Abierto Pymes - Clase B,1.7685
Toronto Trust Abierto Pymes - Clase C,1.1685
Zofingen Factoring Abierto Pyme - Clase A,1.79
Zofingen Factoring Abierto Pyme - Clase B,2.95
Zofingen Factoring Abierto Pyme - Clase C,2.03
1822 Raices Abierto Pymes,1.4
Abierto Momentum Pymes - Clase A,2.5
Abierto Momentum Pymes - Clase B,2.5
Abierto Momentum Pymes - Clase C,2.5
Abierto Momentum Pymes - Clase D Ley N° 27.743,2.5
Abierto Pymes Veta - Clase A,2.77
Abierto Pymes Veta - Clase B,1.97
Abierto Pymes Veta - Clase C,2.11
Adcap Cima Abierto Pymes - Clase A,1.5
Adcap Cima Abierto Pymes - Clase B,1.5
Adcap Financiamiento Abierto Pymes - Clase A,2.35
Adcap Financiamiento Abierto Pymes - Clase B,2.3
Adcap Financiamiento Abierto Pymes - Clase C,2.04
Adcap Financiamiento Abierto Pymes - Clase Ley Nº 27.743,2.35
Adcap S&C Renta Corporativa Corto Plazo Abierto Pymes - Clase A,2
Adcap S&C Renta Corporativa Corto Plazo Abierto Pymes - Clase B,2
Adcap S&C Renta Corporativa Corto Plazo Abierto Pymes - Clase C,2
Adcap S&C Renta Corporativa Corto Plazo Abierto Pymes - Clase Ley Nº 27.743,2.02
Allaria Pyme Selection - Clase A,0
Allaria Pyme Selection - Clase B,2.52
Allaria Pyme Selection - Clase C,2.52
Allaria Unicred Abierto Pymes FCI - Clase A,2.125
Allaria Unicred Abierto Pymes FCI - Clase B,2.125
Allaria Unicred Abierto Pymes FCI - Clase C,2.125
Allaria Unicred Abierto Pymes FCI - Clase D,2.5
Allaria Unicred Abierto Pymes FCI - Clase Ley N° 27.743,2.13
Alpha Abierto Pymes - Clase A,2
Alpha Abierto Pymes - Clase B,2.91
Alpha Abierto Pymes - Clase C,2.73
Alpha Abierto Pymes - Clase D,2.18
Alpha Abierto Pymes - Clase E,0.63
Alpha Abierto Pymes - Clase J,2
Alpha Abierto Pymes - Clase K,2.91
Apolo Pymes - Clase B,0.22
Argenfunds Abierto Pymes - Clase A,3
Argenfunds Abierto Pymes - Clase B,1.8991
Axis Abierto Pymes 3 - Clase A,2.6
Axis Abierto Pymes 3 - Clase B,2.6
Axis Abierto Pymes 3 - Clase C,2.6
Axis Abierto Pymes 3 - Clase X Ley N° 27.743,2.6
Axis Abierto Pymes 3 - Clase Y Ley N° 27.743,2.6
Axis FCIA Pymes 1 - Clase A,2.5
Axis FCIA Pymes 1 - Clase B,2.5
Axis IMSA FCI Abierto Pymes Federal Argentina - Clase A,2.5
Axis IMSA FCI Abierto Pymes Federal Argentina - Clase B,2
Axis IMSA FCI Abierto Pymes Federal Argentina - Clase X Ley N° 27.743,2.5
Axis IMSA FCI Abierto Pymes Federal Argentina - Clase Y Ley N° 27.743,2
Axis Producir FCIA Pymes - Clase A,2.6
Axis Producir FCIA Pymes - Clase B,2.5
Bull Market Abierto Pymes - Clase A,2.25
Bull Market Abierto Pymes - Clase B,2.25
Chaco FCI Abierto Pymes - Clase A,1.85
Chaco FCI Abierto Pymes - Clase B,1.85
Champaquí FCI Abierto Pymes - Clase B,2
Champaquí FCI Abierto Pymes - Clase D,0.85
Compass Argentina Abierto PyMEs - Clase A,4
Compass Argentina Abierto PyMEs - Clase B,2
Compass Argentina Abierto PyMEs - Clase C,1.3
Consultatio Abierto Pymes - Clase A,2
Consultatio Abierto Pymes - Clase B,2
Consultatio Abierto Pymes - Clase C,1.4
Dracma Abierto Pymes - Clase A,2.02
Dracma Abierto Pymes - Clase B,2.02
Dracma Abierto Pymes - Clase C,2.02
Dracma Abierto Pymes - Clase D,2.02
Dracma Abierto Pymes - Clase E Ley N° 27.743,1.8
FCI Abierto Pymes Potencia Pyme - Clase A,1.84
FCI Abierto Pymes Potencia Pyme - Clase B,2.1
FCI Abierto Pymes Potencia Pyme - Clase C,2.67
First Abierto Pymes - Clase A,3
First Abierto Pymes - Clase B,2.25
First Abierto Pymes - Clase C,0.65
First Abierto Pymes - Clase D,0.65
First Abierto Pymes II - Clase A,2.5
First Abierto Pymes II - Clase B,1.85
First Abierto Pymes II - Clase C,1.5
First Abierto Pymes II - Clase D,0.65
Fundcorp Capital Abierto Pymes - Clase A,2.25
Fundcorp Capital Abierto Pymes - Clase B,1.85
Fundcorp Capital Abierto Pymes - Clase C,1.5
Galileo FCI Abierto Pymes - Clase B,2
Gestionar Abierto Pymes - Clase A,2
Gestionar Abierto Pymes - Clase B,2
IAM Dinámico FCI Abierto Pymes - Clase B,2
IAM FCI Abierto Pymes - Clase A,2.5
IAM FCI Abierto Pymes - Clase B,2.1
IAM FCI Abierto Pymes - Clase C,2.1
IAM FCI Abierto Pymes - Clase D,1.95
Julio A. Roca Abierto Pymes - Clase A,5
Lombard Abierto Pymes,1.6
MAF Abiertos Pymes - Clase A,2.8
MAF Abiertos Pymes - Clase B,1.87
MAF Abiertos Pymes - Clase C,2.1
MAF Abiertos Pymes - Clase D,1.75
MAF Abiertos Pymes - Clase E,0.2
MAF Abiertos Pymes - Clase F,2.75
MAF Empresas Pymes,1.99
MEGAQM Empresas Argentinas FCIA Pymes - Clase A,2.129
MEGAQM Empresas Argentinas FCIA Pymes - Clase B,2.129
Pellegrini Empresas Argentinas PyMES,1.25
Premier Abierto Pymes - Clase A,2.024
Premier Abierto Pymes - Clase B,2.76
Premier Abierto Pymes - Clase C,1.656
Quiron Agro Pymes - Clase A,3.75
Quiron Agro Pymes - Clase B,3.75
Quiron Agro Pymes - Clase C,1.97
Quiron PYMEs - Clase A,1.97
Quiron PYMEs - Clase B,5
Schroder Desarrollo y Crecimiento PyMEs - Clase A,3
Schroder Desarrollo y Crecimiento PyMEs - Clase B,2
Schroder Desarrollo y Crecimiento PyMEs - Clase C,0.58
Schroder Desarrollo y Crecimiento PyMEs - Clase D,1.4
ST Abierto Pymes - Clase A,2
ST Abierto Pymes - Clase B,1.6
ST Abierto Pymes - Clase C,1.4
ST Abierto Pymes - Clase D,1.4
Valiant Abierto Pymes - Clase A,2
Valiant Abierto Pymes - Clase B,4
Max Abierto PyMEs - Clase A,2.25
Max Abierto PyMEs - Clase B,2
Max Abierto PyMEs - Clase C,0
Max Abierto PyMEs - Clase D,0
Alycbur FCI Abierto Pymes - Clase A,2
Alycbur FCI Abierto Pymes - Clase B,2
Alycbur FCI Abierto Pymes - Clase C,2
Alycbur FCI Abierto Pymes - Clase Ley Nº 27.743,2
PyMes Dolar Estadounidense,nan
Argenfunds Abierto Pymes - Clase C,2
Argenfunds Abierto Pymes - Clase D,2
Compass Argentina Abierto PyMEs - Clase D,4
Compass Argentina Abierto PyMEs - Clase E,2
Compass Argentina Abierto PyMEs - Clase F,1.3
MAF Abiertos Pymes - Clase H,2.8
PyMes Dolar Estadounidense Billete,nan
MAF Abiertos Pymes - Clase G,2.8
Infraestructura Peso Argentina,nan
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase D,3.15
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase E,2.15
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase F,1.75
Gainvest Infraestructura FCI Abierto - Clase A,2.5
Gainvest Infraestructura FCI Abierto - Clase B,2.5
Gainvest Infraestructura FCI Abierto - Clase C,1.5
Pellegrini Desarrollo Arg. Infraest. - Clase A,1.5
Pellegrini Desarrollo Arg. Infraest. - Clase B,0.6
Allaria Desarrollo e Infraestructura - Clase A,2.02
Allaria Desarrollo e Infraestructura - Clase B,2.02
Allaria Desarrollo e infraestructura - Clase C,2.02
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase A,2.6
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase B,2.1
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase C,2
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase L Ley N°27.743,2.6
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase A,2.6
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase B,2.1
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase C,2
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase L Ley N°27.743,2.6
Chaco FCI Abierto Infraestructura - Clase A,2
Chaco FCI Abierto Infraestructura - Clase B,2
Consultatio Infraestructura - Clase A,2.5
Consultatio Infraestructura - Clase B,2.3
Consultatio Infraestructura - Clase C,2.1
Delta Crecimiento Infraestructura - Clase A,0.01
Delta Crecimiento Infraestructura - Clase B,1.75
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase A,3.15
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase B,2.15
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase C,1.75
Desarrollo Argentino III FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase A,3.15
Desarrollo Argentino III FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase B,2.15
Desarrollo Argentino III FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase C,1.75
HF Infraestructura II - Clase I,1.7573
MEGAQM FCI Abierto Financiamiento de Infraestructura - Clase A,2.5
MEGAQM FCI Abierto Financiamiento de Infraestructura - Clase B,2.129
MEGAQM FCI Abierto Financiamiento de Infraestructura - Clase Ley N° 27.743,2.5
Pionero Infraestructura - Clase A,2.88
Pionero Infraestructura - Clase B,2.07
Pionero Infraestructura - Clase C,0
SBS Desarrollo Infraestructura - Clase A,3.5
SBS Desarrollo Infraestructura - Clase B,2.15
SBS Desarrollo Infraestructura - Clase Ley N° 27.743,3.5
Schroder Infraestructura - Clase A,3
Schroder Infraestructura - Clase B,2.1
Schroder Infraestructura - Clase C,2
Schroder Infraestructura - Clase D,1.4
Schroder Infraestructura - Clase E Ley N° 27.743,3
Zofingen Infraestructura - Clase A,2.09
Zofingen Infraestructura - Clase B,2.18
Zofingen Infraestructura - Clase C,0
1822 Raices Infraestructura,1.4
Adcap Desarrollo e Infraestructura - Clase A,2.52
Adcap Desarrollo e Infraestructura - Clase B,2.32
Adcap Desarrollo e Infraestructura - Clase C,2.06
Adcap Desarrollo e Infraestructura - Clase G,1.75
Adcap Desarrollo e Infraestructura - Clase Ley Nº 27.743,2.5
Alpha Infraestructura - Clase A,2
Alpha Infraestructura - Clase B,2.91
Alpha Infraestructura - Clase C,2.73
Alpha Infraestructura - Clase D,2.18
Alpha Infraestructura - Clase E,0.63
Alpha Infraestructura - Clase J,2
Alpha Infraestructura - Clase K,2.91
Argenfunds Infraestructura - Clase A,3.5
Argenfunds Infraestructura - Clase B,1.5
Argenfunds Infraestructura - Clase C,1.5
Balanz Infraestructura - Clase A,2.3
Balanz Infraestructura - Clase B,1.65
Balanz Infraestructura - Clase C,1.4
Balanz Infraestructura - Clase D,1
Balanz Infraestructura - Clase E,0
Balanz Infraestructura - Clase F,0
Balanz Infraestructura - Clase L Ley Nº 27.743,2.3
Infraestructura Dolar Estadounidense,nan
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase A,3.15
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase B,2.15
Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase C,1.75
Gainvest Infraestructura FCI Abierto - Clase D,2.5
Gainvest Infraestructura FCI Abierto - Clase E,2.5
Gainvest Infraestructura FCI Abierto - Clase F,2.5
Gainvest Infraestructura FCI Abierto - Clase G,0
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase D,0
Balanz Crecimiento FCI Ab para Financ Infra y Econ Real - Clase E,0
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase D,0
Balanz Desarrollo FCI Ab para Financ Infra y Econ Real - Clase E,0
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase D,3.15
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase E,2.15
Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase F,1.75
HF Infraestructura - Clase C,0.8373
HF Infraestructura - Clase I,1.0047
Retorno Total Peso Argentina,nan
Ualintec Retorno Total - Clase A,2.5
Ualintec Retorno Total - Clase B,1.65
Ualintec Retorno Total - Clase C,1.1
Adcap Financiamiento 1 - Clase A,1.1109
Adcap Financiamiento 1 - Clase B,1.1109
Adcap Financiamiento 1 - Clase C,1.1109
Adcap Financiamiento 1 - Clase D,1.1109
ConoSur Visus - Clase A,3.24
ConoSur Visus - Clase B,2.44
ConoSur Visus - Clase C,1.74
ConoSur Visus - Clase D,2.44
Consultatio Balance Fund - Clase A,2.5
Consultatio Balance Fund - Clase B,1.5
Consultatio Balance Fund - Clase Z Ley N° 27.743,1.5
IEB Retorno Total II - Clase A,0.8
IEB Retorno Total II - Clase B,0.8
IEB Retorno Total II - Clase X,0
IEB Retorno Total III - Clase A,0.6
IEB Retorno Total III - Clase B,0.6
IEB Retorno Total III - Clase X,0
Max Retorno Total Pesos - Clase A,0
Max Retorno Total Pesos - Clase B,0
Max Retorno Total Pesos - Clase C,0
Max Retorno Total Pesos - Clase D,0.63
Max Retorno Total Pesos II - Clase A,0
Max Retorno Total Pesos II - Clase B,0
Max Retorno Total Pesos II - Clase C,0
Max Retorno Total Pesos II - Clase D,0.85
Max Retorno Total Pesos III - Clase A,0
Max Retorno Total Pesos III - Clase B,0
Max Retorno Total Pesos III - Clase C,0
Max Retorno Total Pesos III - Clase D,0.88
Max Retorno Total Pesos IV - Clase A,0
Max Retorno Total Pesos IV - Clase B,0
Max Retorno Total Pesos IV - Clase C,0
Max Retorno Total Pesos IV - Clase D,0.279
Schroder Crecimiento Dos - Clase A,1.15
Schroder Crecimiento Dos - Clase B,1.15
Schroder Crecimiento Dos - Clase C,1.15
Schroder Crecimiento Tres - Clase A,2.5
Schroder Crecimiento Tres - Clase B,1.7
Schroder Crecimiento Tres - Clase C,1
Schroder Patrimonio Dos - Clase B,1.7
Schroder Patrimonio Dos - Clase C,1.7
Cocos Medalla - Clase A,3
Cocos Medalla - Clase B,3
Cocos Medalla - Clase C,0.1
Cocos Pesos Plus - Clase A,2.5
Cocos Pesos Plus - Clase B,2.5
Cocos Pesos Plus - Clase C,1.25
Galileo Argentina - Clase A,2.25
Galileo Argentina - Clase B,1.75
Galileo Renta Fija - Clase A,1.25
Galileo Renta Fija - Clase B,1
GMC Retorno Total II - Clase B,3
GMC Retorno Total II - Clase C,0.22
GMC Retorno Total II - Clase F,0.22
Insider Retorno Estratégico - Clase A,2.52
Insider Retorno Estratégico - Clase B,2.02
Insider Retorno Estratégico - Clase C,0
Insider Retorno Estratégico - Clase D,0
MEGAQM Balanceado - Clase A,3
MEGAQM Balanceado - Clase B,1.72
MEGAQM Balanceado - Clase Ley Nº 27.743,3
MEGAQM Retorno Total - Clase A,3.2
MEGAQM Retorno Total - Clase B,2.43
Pionero Renta Estrategico - Clase A,2.045
Pionero Renta Estrategico - Clase B,2.045
Pionero Renta Estrategico - Clase C,0
Pionero Retorno Total - Clase A,2.9205
Pionero Retorno Total - Clase B,2.25
Schroder Crecimiento - Clase A,1.7
Schroder Crecimiento - Clase B,1.7
Schroder Crecimiento - Clase C,1.7
Chimpay Retorno Total - Clase A,0.3
Chimpay Retorno Total - Clase B,0.3
Chimpay Retorno Total - Clase C,0.3
DXA Multicobertura - Clase A,2.52
DXA Multicobertura - Clase B,2.52
Fundcorp Performance Multiestrategia - Clase A,2.9
Fundcorp Performance Multiestrategia - Clase B,2.65
Fundcorp Performance Multiestrategia - Clase C,0.7
MEGAQM Retorno Absoluto - Clase A,3.2
MEGAQM Retorno Absoluto - Clase B,2.43
SBS Retorno Total - Clase A,3.5
SBS Retorno Total - Clase B,2.5
SBS Retorno Total - Clase Ley N° 27.743,3.5
Schroder Renta Global Tres - Clase A,0.55
Schroder Renta Global Tres - Clase B,1.75
Schroder Renta Global Tres - Clase C,0.55
Valiant Total Return - Clase A,4
Valiant Total Return - Clase B,4.5
Valiant Total Return - Clase C,1.5
Valiant Total Return - Clase D,2
Compass Ahorro en Dolares - Clase D,3
Compass Ahorro en Dolares - Clase E,1.25
Compass Ahorro en Dolares - Clase F,1
Compass Best Ideas - Clase D,2.95
Compass Best Ideas - Clase E,2.1
Compass Best Ideas - Clase F,1.6
GMC Retorno Total - Clase A,3
GMC Retorno Total - Clase B,5
GMC Retorno Total - Clase C,5
GMC Retorno Total - Clase D,1
Allaria Estrategico - Clase A,3.25
Allaria Estrategico - Clase B,3
Allaria Estrategico - Clase C,2.5
Allaria Estrategico - Clase D,0
Valiant Total Return RP,0
Retorno Total Dolar Estadounidense,nan
Fundcorp Estrategia - Clase A,0.5
Fundcorp Estrategia - Clase B,0.5
Fundcorp Estrategia - Clase C,0.5
Fundcorp Estrategia - Clase D,0.5
IEB Estratégico II - Clase A,0.5
IEB Estratégico II - Clase B,0.5
IEB Estratégico II - Clase X Ley N° 27.743,0.5
Galileo Argentina - Clase C,1.75
Galileo Argentina - Clase D,1.25
Galileo Renta Fija - Clase C,1.25
Galileo Renta Fija - Clase D,1
Pionero Retorno Total - Clase C,2.25
Pionero Retorno Total - Clase D,2.025
Allaria Dólar Retorno Total - Clase A,2
Allaria Dólar Retorno Total - Clase B,1.5
Allaria Dólar Retorno Total - Clase C,1.25
Allaria Dólar Retorno Total - Clase Ley N° 27.743,1.5
Chimpay Retorno Total - Clase D,0.3
Chimpay Retorno Total - Clase E,0.3
Chimpay Retorno Total - Clase F,0.3
Fundcorp Long Performance Plus II - Clase A,1.1
Fundcorp Long Performance Plus II - Clase B,1.1
Fundcorp Long Performance Plus II - Clase C,1.1
Fundcorp Long Performance Plus II - Clase D Ley N° 27.743,1.1
Tandem Dólares Retorno Total - Clase A,1.5
Tandem Dólares Retorno Total - Clase B,1.5
Tandem Dólares Retorno Total - Clase C,1.5
Tandem Dólares Retorno Total - Clase D,1.5
Tandem Dólares Retorno Total - Clase E Ley N° 27.743,1.5
Compass Ahorro en Dolares - Clase A,3
Compass Ahorro en Dolares - Clase B,1.25
Compass Ahorro en Dolares - Clase C,1
Compass Ahorro en Dolares - Clase H Ley 27.743,3
Compass Ahorro en Dolares - Clase I Ley 27.743,1.25
Compass Best Ideas - Clase A,2.95
Compass Best Ideas - Clase B,2.1
Compass Best Ideas - Clase C,1.6
Compass Best Ideas - Clase H Ley 27.743,2.75
Compass Best Ideas - Clase I Ley 27.743,2
Galileo Event Driven - Clase A,2
Galileo Event Driven - Clase B,1.25
Galileo Event Driven - Clase C Ley N° 27.743,2
Galileo Event Driven - Clase D Ley N° 27.743,1.25
Galileo Event Driven - Clase Y,2
Galileo Event Driven - Clase Z,1.25
ASG Peso Argentina,nan
SBS Retorno Sustentable ASG - Clase A,3.5
SBS Retorno Sustentable ASG - Clase B,2
MEGAQM Sustentable ASG - Clase A,2.5
MEGAQM Sustentable ASG - Clase B,2.1
MEGAQM Sustentable ASG - Clase C,1.279
MEGAQM Sustentable ASG - Clase Ley N° 27.743,2.5
Superfondo Sustentable ASG - Clase B,0.8079
Adcap Verde y Sustentable ASG - Clase A,2.32
Adcap Verde y Sustentable ASG - Clase B,2.22
Adcap Verde y Sustentable ASG - Clase C,2.06
Adcap Verde y Sustentable ASG - Clase Ley Nº 27.743,0
Allaria Sustentable ASG - Clase A,2.02
Allaria Sustentable ASG - Clase B,2.02
Allaria Sustentable ASG - Clase C,2.02
Consultatio ST Fondo Comun De Inversión ASG - Clase A,2.2
Consultatio ST Fondo Comun De Inversión ASG - Clase B,1.8
Consultatio ST Fondo Comun De Inversión ASG - Clase C,0
Consultatio ST Fondo Comun De Inversión ASG - Clase D,1.7
Delta Sustentable ASG - Clase A,2
Delta Sustentable ASG - Clase B,1.5
Fima Cartera Sustentable FCI ASG - Clase A,2.0825
Fima Cartera Sustentable FCI ASG - Clase B,1.785
Fima Cartera Sustentable FCI ASG - Clase C,1.4875
Gainvest Renta Mixta Sustentable FCI ASG - Clase A,2
Gainvest Renta Mixta Sustentable FCI ASG - Clase B,2
Gainvest Renta Mixta Sustentable FCI ASG - Clase C,0
Premier Sustentable ASG - Clase A,1.748
Premier Sustentable ASG - Clase B,2.3
Premier Sustentable ASG - Clase C,0
RG900 Peso Argentina,nan
FBA Cobertura Pesos - Clase A,2.779
FBA Cobertura Pesos - Clase B,2.179
MEGAQM Estrategia 5 - Clase A,3
MEGAQM Estrategia 5 - Clase B,1.85
Pellegrini Renta Fija II - Clase A,2.5
Pellegrini Renta Fija II - Clase B,2.25
Pionero Renta Pesos - Clase A,2.25
Pionero Renta Pesos - Clase B,1.8
Delta Performance - Clase A,3
Delta Performance - Clase B,2.25
Delta Performance - Clase E,0.75
Mercado de Dinero Peso Argentina,nan
1810 Ahorro,0.05
1822 Raices Ahorro Pesos,1.4
Adcap Ahorro Dinámico Fondo de Dinero - Clase A,2.87
Adcap Ahorro Dinámico Fondo de Dinero - Clase B,1.97
Adcap Ahorro Dinámico Fondo de Dinero - Clase C,1.645
Adcap Ahorro Dinámico Fondo de Dinero - Clase G,0.07
Adcap Ahorro Dinámico Fondo de Dinero - Clase Ley Nº 27.743,2.82
Adcap Ahorro Pesos Fondo de Dinero - Clase A,2.82
Adcap Ahorro Pesos Fondo de Dinero - Clase B,1.92
Adcap Ahorro Pesos Fondo de Dinero - Clase C,1.61
Adcap Ahorro Pesos Fondo de Dinero - Clase G,0.07
Adcap Ahorro Pesos Fondo de Dinero - Clase H,2.8
Adcap Ahorro Pesos Fondo de Dinero - Clase H1,2.82
Adcap Ahorro Pesos Fondo de Dinero - Clase H2,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H3,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H4,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H5,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H6,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H7,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H8,0
Adcap Ahorro Pesos Fondo de Dinero - Clase H9,0
Adcap Ahorro Pesos Fondo de Dinero - Clase I,1.82
Adcap Ahorro Pesos Fondo de Dinero - Clase Ley Nº 27.743,2.82
Allaria Ahorro - Clase A,2.5
Allaria Ahorro - Clase B,2.25
Allaria Ahorro - Clase C,1.5
Allaria Ahorro - Clase E,1.6
Allaria Ahorro - Clase Ley Nº 27.743,2.5
Alpha Pesos - Clase A,1.7299
Alpha Pesos - Clase B,2.8653
Alpha Pesos - Clase J,1.548
Alpha Pesos - Clase K,2.8653
Argenfunds Liquidez - Clase A,3
Argenfunds Liquidez - Clase B,1.73
Argenfunds Liquidez - Clase G Ley N° 27.743,3
Balanz Capital Money Market - Clase A,2.35
Balanz Capital Money Market - Clase B,1.85
Balanz Capital Money Market - Clase C,1.55
Balanz Capital Money Market - Clase D,1.45
Balanz Capital Money Market - Clase E,2
Balanz Capital Money Market - Clase F,0
Balanz Capital Money Market - Clase H,2.35
Balanz Capital Money Market - Clase L Ley N° 27.743,2.35
BAVSA Ahorro - Clase A,2.1
BAVSA Ahorro - Clase B,1.6
BAVSA Ahorro - Clase C Ley Nº 27.743,2.1
BAVSA Ahorro - Clase D Ley Nº 27.743,1.6
BM Smart Money Market - Clase A,2
BM Smart Money Market - Clase B,1.5
Chaco FCI Money Market - Clase A,1.8
Chaco FCI Money Market - Clase B,1.8
Champaquí Fondo Inmediato - Clase A,2.93
Champaquí Fondo Inmediato - Clase B,1.79
Champaquí Fondo Inmediato - Clase C,1.52
Champaquí Fondo Inmediato Plus - Clase A,2.93
Champaquí Fondo Inmediato Plus - Clase B,1.79
Champaquí Fondo Inmediato Plus - Clase C,2.93
Champaquí Fondo Inmediato Plus - Clase D,1.52
Cocos Ahorro - Clase A,2
Cocos Ahorro - Clase B,1.5
Cocos Ahorro - Clase C,1.5
Cocos Ahorro - Clase D,1.2
Cocos Ahorro - Clase Ley N° 27.743,2
Compass Liquidez - Clase A,2.25
Compass Liquidez - Clase B,1.4
Compass Liquidez - Clase C,1.1
Compass Liquidez - Clase D,1.2
Compass Liquidez - Clase E,0
Compass Liquidez - Clase H Ley 27.743,2.25
Compass Liquidez - Clase I Ley 27.743,1.4
ConoSur Liquidez - Clase A,2.3
ConoSur Liquidez - Clase B,2.2
ConoSur Liquidez - Clase C,1.4
ConoSur Liquidez - Clase D,2.2
Consultatio Fondo de Dinero - Clase A,3
Consultatio Fondo de Dinero - Clase B,3
Consultatio Fondo de Dinero - Clase C,3
CYC Liquidez,1.25
CYC Liquidez - Clase E Ley N° 27.743,1.25
Delta Pesos - Clase A,3.5
Delta Pesos - Clase B,2
Delta Pesos - Clase D,1.1
Delta Pesos - Clase K Ley Nº 27.743,3.5
Delta Pesos - Clase L Ley Nº 27.743,2
Delta Pesos - Clase M,3.5
Delta Pesos - Clase X,1.46
FBA Money Market Pesos - Clase A,3.379
FBA Money Market Pesos - Clase B,1.979
